No,Attributes
6556,-1:word.lower():nutrition
6557,-1:word.lower():hydrolyzed
6558,+1:word.lower():protein
6559,word.lower():protein
6560,word[-3:]:ein
6561,word[:3]:pro
6562,-1:word.lower():protein
6563,word.lower():wonder
6564,+1:word.lower():trail
6565,word.lower():trail
6566,-1:word.lower():wonder
6567,+1:word.lower():mix
6568,word.lower():mix
6569,word[-3:]:Mix
6570,word[-2:]:ix
6571,word[:3]:Mix
6572,-1:word.lower():trail
6573,-1:word.lower():mix
6574,+1:word.lower():mixed
6575,word.lower():mixed
6576,word[-3:]:xed
6577,-1:word.lower():500gr
6578,+1:word.lower():nut
6579,word.lower():nut
6580,word[-3:]:Nut
6581,word[:3]:Nut
6582,word[:2]:Nu
6583,-1:word.lower():mixed
6584,+1:word.lower():500
6585,-1:word.lower():nut
6586,word[:3]:gra
6587,word[:2]:gr
6588,+1:word.lower():belagio
6589,word.lower():belagio
6590,word[-3:]:gio
6591,word[:3]:bel
6592,word[:3]:bro
6593,-1:word.lower():belagio
6594,word[-3:]:han
6595,word[:3]:bah
6596,word[:3]:kat
6597,+1:word.lower():strech
6598,word.lower():strech
6599,word[:3]:str
6600,word[:3]:fit
6601,-1:word.lower():strech
6602,word.lower():papan
6603,word[:3]:PAP
6604,+1:word.lower():tulis
6605,word.lower():tulis
6606,word[-3:]:LIS
6607,word[-2:]:IS
6608,word[:3]:TUL
6609,-1:word.lower():papan
6610,+1:word.lower():3in1
6611,word.lower():3in1
6612,word[:3]:3IN
6613,word[:2]:3I
6614,-1:word.lower():tulis
6615,+1:word.lower():(papan
6616,word.lower():(papan
6617,word[:3]:(pa
6618,word[:2]:(p
6619,-1:word.lower():3in1
6620,word[:3]:tul
6621,-1:word.lower():(papan
6622,+1:word.lower():+papan
6623,word.lower():+papan
6624,word[:3]:+pa
6625,word[:2]:+p
6626,-1:word.lower():putih
6627,-1:word.lower():+papan
6628,+1:word.lower():+magnetic)
6629,word.lower():+magnetic)
6630,word[-3:]:ic)
6631,word[-2:]:c)
6632,word[:3]:+ma
6633,word[:2]:+m
6634,+1:word.lower():mo-3166
6635,word.lower():mo-3166
6636,word[-3:]:166
6637,word[:3]:MO-
6638,-1:word.lower():+magnetic)
6639,word.lower():starstore
6640,+1:word.lower():szs
6641,word.lower():szs
6642,word[-3:]:SZS
6643,word[-2:]:ZS
6644,word[:3]:SZS
6645,word[:2]:SZ
6646,-1:word.lower():starstore
6647,"+1:word.lower():11"""
6648,"word.lower():11"""
6649,"word[-3:]:11"""
6650,"word[-2:]:1"""
6651,"word[:3]:11"""
6652,word[:2]:11
6653,-1:word.lower():szs
6654,+1:word.lower():economist
6655,word.lower():economist
6656,word[:3]:Eco
6657,"-1:word.lower():11"""
6658,+1:word.lower():drum
6659,word.lower():drum
6660,word[-3:]:rum
6661,word[:3]:Dru
6662,-1:word.lower():economist
6663,+1:word.lower():pad
6664,word.lower():pad
6665,word[-3:]:Pad
6666,-1:word.lower():drum
6667,-1:word.lower():pad
6668,+1:word.lower():bonus
6669,word.lower():bonus
6670,word[-3:]:NUS
6671,word[:3]:BON
6672,-1:word.lower():bonus
6673,+1:word.lower():stik
6674,word.lower():stik
6675,+1:word.lower():+free
6676,word.lower():+free
6677,word[:3]:+FR
6678,word[:2]:+F
6679,-1:word.lower():stik
6680,+1:word.lower():tempered
6681,word.lower():tempered
6682,+1:word.lower():glass
6683,word.lower():glass
6684,-1:word.lower():tempered
6685,-1:word.lower():glass
6686,+1:word.lower():cut
6687,word.lower():cut
6688,word[-3:]:Cut
6689,word.lower():league
6690,word[-3:]:GUE
6691,word[-2:]:UE
6692,word[:3]:LEA
6693,+1:word.lower():101203775
6694,word.lower():101203775
6695,word[-3:]:775
6696,word[:3]:101
6697,-1:word.lower():league
6698,+1:word.lower():taka
6699,word.lower():taka
6700,word[-3:]:aka
6701,word[:3]:Tak
6702,-1:word.lower():101203775
6703,word.lower():pulsa
6704,word[-3:]:lsa
6705,+1:word.lower():bolt
6706,word.lower():bolt
6707,word[-3:]:olt
6708,word[:3]:Bol
6709,-1:word.lower():pulsa
6710,+1:word.lower():4g
6711,word.lower():4g
6712,word[-3:]:4G
6713,word[-2:]:4G
6714,word[:3]:4G
6715,-1:word.lower():bolt
6716,+1:word.lower():25.000
6717,word.lower():25.000
6718,word[:3]:25.
6719,word[:2]:25
6720,-1:word.lower():4g
6721,word.lower():spatula
6722,word[-3:]:ula
6723,word[-2:]:la
6724,+1:word.lower():kayu
6725,word.lower():kayu
6726,word[-3:]:ayu
6727,word[-2:]:yu
6728,word[:3]:Kay
6729,-1:word.lower():spatula
6730,+1:word.lower():excellent
6731,word.lower():excellent
6732,word[:3]:Exc
6733,word[:2]:Ex
6734,-1:word.lower():excellent
6735,+1:word.lower():44
6736,word.lower():44
6737,word[-3:]:44
6738,word[-2:]:44
6739,word[:3]:44
6740,word[:2]:44
6741,-1:word.lower():44
6742,word.lower():electrolux
6743,word[-3:]:LUX
6744,word[-2:]:UX
6745,word[:3]:ELE
6746,word[:2]:EL
6747,word[-3:]:UUM
6748,word[-2:]:UM
6749,word[:3]:VAC
6750,word[:2]:VA
6751,-1:word.lower():electrolux
6752,word[-3:]:NER
6753,word[:3]:CLE
6754,+1:word.lower():z
6755,word.lower():z
6756,word[-3:]:Z
6757,word[-2:]:Z
6758,word[:3]:Z
6759,word[:2]:Z
6760,+1:word.lower():803
6761,word.lower():803
6762,word[-3:]:803
6763,word[-2:]:03
6764,word[:3]:803
6765,-1:word.lower():z
6766,+1:word.lower():flotrol
6767,word.lower():flotrol
6768,word[-3:]:rol
6769,word[:3]:Flo
6770,+1:word.lower():resin
6771,word.lower():resin
6772,word[:3]:Res
6773,-1:word.lower():flotrol
6774,+1:word.lower():kation
6775,word.lower():kation
6776,-1:word.lower():resin
6777,+1:word.lower():cation
6778,word.lower():cation
6779,-1:word.lower():kation
6780,-1:word.lower():cation
6781,word.lower():obral
6782,word[-3:]:RAL
6783,word[:3]:OBR
6784,+1:word.lower():frame
6785,word.lower():frame
6786,word[-3:]:ame
6787,word[:3]:Fra
6788,-1:word.lower():obral
6789,+1:word.lower():kacamata
6790,-1:word.lower():frame
6791,+1:word.lower():montbolanc
6792,word.lower():montbolanc
6793,word[-3:]:anc
6794,word[-2:]:nc
6795,+1:word.lower():5127m
6796,word.lower():5127m
6797,word[-3:]:27M
6798,word[-2:]:7M
6799,word[:3]:512
6800,-1:word.lower():montbolanc
6801,-1:word.lower():5127m
6802,+1:word.lower():ruthab
6803,word.lower():ruthab
6804,word[-3:]:hab
6805,word[:3]:Rut
6806,+1:word.lower():kurma
6807,word.lower():kurma
6808,word[-3:]:rma
6809,word[:3]:kur
6810,-1:word.lower():ruthab
6811,+1:word.lower():muda
6812,word.lower():muda
6813,word[:3]:mud
6814,-1:word.lower():kurma
6815,-1:word.lower():muda
6816,+1:word.lower():sudah
6817,+1:postag:MD
6818,+1:postag[:2]:MD
6819,word.lower():sudah
6820,word[:3]:sud
6821,postag:MD
6822,postag[:2]:MD
6823,+1:word.lower():matang
6824,word.lower():matang
6825,word[:3]:mat
6826,-1:word.lower():sudah
6827,-1:postag:MD
6828,-1:postag[:2]:MD
6829,+1:word.lower():hanya
6830,+1:postag:RB
6831,+1:postag[:2]:RB
6832,word.lower():hanya
6833,word[:3]:han
6834,postag:RB
6835,postag[:2]:RB
6836,-1:word.lower():matang
6837,+1:word.lower():utk
6838,word.lower():utk
6839,word[-3:]:utk
6840,word[-2:]:tk
6841,word[:3]:utk
6842,word[:2]:ut
6843,-1:word.lower():hanya
6844,-1:postag:RB
6845,-1:postag[:2]:RB
6846,+1:word.lower():gojek
6847,word.lower():gojek
6848,word[-3:]:JEK
6849,word[-2:]:EK
6850,word[:3]:GOJ
6851,word[:2]:GO
6852,-1:word.lower():utk
6853,+1:word.lower():eos
6854,word.lower():eos
6855,word[-3:]:EOS
6856,word[:3]:EOS
6857,word[:2]:EO
6858,+1:word.lower():rebel
6859,word.lower():rebel
6860,word[:3]:Reb
6861,-1:word.lower():eos
6862,+1:word.lower():t5
6863,word.lower():t5
6864,word[-3:]:T5
6865,word[-2:]:T5
6866,word[:3]:T5
6867,word[:2]:T5
6868,-1:word.lower():rebel
6869,word.lower():mastin
6870,word[-3:]:TIN
6871,word[-3:]:ISI
6872,word[:3]:ISI
6873,word[:2]:IS
6874,-1:word.lower():mastin
6875,word[-3:]:SUL
6876,word[-2:]:UL
6877,+1:word.lower():cardigan
6878,word.lower():cardigan
6879,-1:word.lower():cardigan
6880,+1:word.lower():color
6881,word.lower():color
6882,word[-3:]:lor
6883,-1:word.lower():color
6884,word.lower():prostar
6885,-1:word.lower():prostar
6886,word[:3]:Whe
6887,+1:word.lower():lb
6888,word.lower():lb
6889,word[-3:]:Lb
6890,word[-2:]:Lb
6891,word[:3]:Lb
6892,word[:2]:Lb
6893,word.lower():korek
6894,word[-3:]:rek
6895,+1:word.lower():elektrik
6896,word.lower():elektrik
6897,-1:word.lower():korek
6898,+1:word.lower():pulse
6899,word.lower():pulse
6900,word[-3:]:lse
6901,-1:word.lower():elektrik
6902,-1:word.lower():pulse
6903,word.lower():knalpot
6904,word[:3]:Kna
6905,word[:2]:Kn
6906,+1:word.lower():racing
6907,word.lower():racing
6908,-1:word.lower():knalpot
6909,+1:word.lower():matic
6910,word.lower():matic
6911,-1:word.lower():racing
6912,+1:word.lower():kawahara
6913,word.lower():kawahara
6914,word[:3]:Kaw
6915,-1:word.lower():matic
6916,+1:word.lower():titan
6917,word.lower():titan
6918,word[:3]:Tit
6919,-1:word.lower():kawahara
6920,-1:word.lower():titan
6921,+1:word.lower():stainles
6922,word.lower():stainles
6923,+1:word.lower():las
6924,word.lower():las
6925,word[-3:]:Las
6926,word[:3]:Las
6927,-1:word.lower():stainles
6928,+1:word.lower():cacing
6929,word.lower():cacing
6930,word[:3]:Cac
6931,-1:word.lower():las
6932,+1:word.lower():pnp
6933,word.lower():pnp
6934,word[-3:]:PNP
6935,word[-2:]:NP
6936,word[:3]:PNP
6937,word[:2]:PN
6938,-1:word.lower():cacing
6939,+1:word.lower():galaxy
6940,word.lower():galaxy
6941,word[-3:]:axy
6942,word[:3]:Gal
6943,+1:word.lower():grand
6944,word.lower():grand
6945,word[-3:]:AND
6946,word[-2:]:ND
6947,word[:3]:GRA
6948,-1:word.lower():galaxy
6949,-1:word.lower():grand
6950,word[-3:]:nsi
6951,word[-3:]:smi
6952,+1:word.lower():samsung
6953,-1:word.lower():resmi
6954,+1:word.lower():indonesia
6955,word.lower():indonesia
6956,word[-3:]:sia
6957,word[:3]:Ind
6958,+1:word.lower():explosion
6959,word.lower():explosion
6960,word[:3]:Exp
6961,+1:word.lower():(h)
6962,word.lower():(h)
6963,word[-3:]:(H)
6964,word[-2:]:H)
6965,word[:3]:(H)
6966,word[:2]:(H
6967,-1:word.lower():explosion
6968,-1:word.lower():(h)
6969,word.lower():batik
6970,-1:word.lower():batik
6971,+1:word.lower():verona
6972,word.lower():verona
6973,word[-3:]:ONA
6974,word[:3]:VER
6975,word[:2]:VE
6976,word.lower():mamypoko
6977,word[:3]:Mam
6978,-1:word.lower():mamypoko
6979,+1:word.lower():extradry
6980,word.lower():extradry
6981,word[-3:]:Dry
6982,word[:3]:Ext
6983,+1:word.lower():popok
6984,word.lower():popok
6985,word[-3:]:pok
6986,-1:word.lower():extradry
6987,word[-3:]:ayi
6988,word[-2:]:yi
6989,word[:3]:Bay
6990,-1:word.lower():popok
6991,+1:word.lower():unisex
6992,word.lower():unisex
6993,word[-3:]:sex
6994,+1:word.lower():diapers
6995,word.lower():diapers
6996,-1:word.lower():unisex
6997,word[-3:]:ipe
6998,word[:3]:Tip
6999,-1:word.lower():diapers
7000,+1:word.lower():sarimbit
7001,word.lower():sarimbit
7002,-1:word.lower():sarimbit
7003,+1:word.lower():kode
7004,word.lower():kode
7005,word[-3:]:SD
7006,word[-2:]:SD
7007,word[:3]:SD
7008,-1:word.lower():kode
7009,+1:word.lower():10
7010,word.lower():10
7011,word[-3:]:10
7012,word[:3]:10
7013,word.lower():lilin
7014,word[-3:]:lin
7015,word[:3]:lil
7016,-1:word.lower():lilin
7017,+1:word.lower():batik
7018,+1:word.lower():cap
7019,word.lower():cap
7020,word[-3:]:cap
7021,word[:3]:cap
7022,word.lower():celemek
7023,word[-3:]:mek
7024,word[:3]:cel
7025,+1:word.lower():slaber
7026,word.lower():slaber
7027,word[:3]:sla
7028,word[:2]:sl
7029,-1:word.lower():celemek
7030,+1:word.lower():bib
7031,word.lower():bib
7032,word[-3:]:bib
7033,word[:3]:bib
7034,-1:word.lower():slaber
7035,+1:word.lower():makan
7036,word.lower():makan
7037,word[:3]:mak
7038,-1:word.lower():bib
7039,word[:3]:bay
7040,-1:word.lower():makan
7041,word.lower():tempat
7042,word[-3:]:pat
7043,+1:word.lower():sampah
7044,word.lower():sampah
7045,word[-3:]:pah
7046,-1:word.lower():tempat
7047,-1:word.lower():sampah
7048,word[:3]:Bah
7049,+1:word.lower():polimer
7050,word.lower():polimer
7051,+1:word.lower():pbt
7052,word.lower():pbt
7053,word[-3:]:PBT
7054,word[-2:]:BT
7055,word[:3]:PBT
7056,word[:2]:PB
7057,-1:word.lower():polimer
7058,+1:word.lower():(dengan
7059,word.lower():(dengan
7060,word[:3]:(De
7061,word[:2]:(D
7062,-1:word.lower():pbt
7063,-1:word.lower():(dengan
7064,+1:word.lower():led)
7065,word.lower():led)
7066,word.lower():xiaomi
7067,word[-3:]:OMI
7068,word[:3]:XIA
7069,word[:2]:XI
7070,+1:word.lower():mi
7071,word.lower():mi
7072,word[-3:]:MI
7073,word[:3]:MI
7074,-1:word.lower():xiaomi
7075,word[-3:]:IN
7076,word[:3]:IN
7077,-1:word.lower():mi
7078,word[:3]:EAR
7079,word[:2]:EA
7080,+1:word.lower():piston3
7081,word.lower():piston3
7082,word[-3:]:ON3
7083,word[-2:]:N3
7084,word[:3]:PIS
7085,+1:word.lower():(2
7086,word.lower():(2
7087,word[-3:]:(2
7088,word[-2:]:(2
7089,word[:3]:(2
7090,word[:2]:(2
7091,+1:word.lower():benang
7092,word.lower():benang
7093,word[:3]:Ben
7094,-1:word.lower():(2
7095,-1:word.lower():benang
7096,+1:word.lower():pedal)
7097,word.lower():pedal)
7098,word[-3:]:al)
7099,word[-2:]:l)
7100,+1:word.lower():jolie
7101,word.lower():jolie
7102,word[-3:]:lie
7103,word[:3]:jol
7104,word[:2]:jo
7105,word.lower():gembok
7106,word[-3:]:bok
7107,word[:3]:Gem
7108,+1:word.lower():gah
7109,word.lower():gah
7110,word[-3:]:GAH
7111,word[:3]:GAH
7112,-1:word.lower():gembok
7113,+1:word.lower():60mm
7114,word.lower():60mm
7115,word[:3]:60m
7116,-1:word.lower():gah
7117,+1:word.lower():besi
7118,word.lower():besi
7119,word[-3:]:esi
7120,-1:word.lower():60mm
7121,word[:3]:den
7122,-1:word.lower():besi
7123,+1:word.lower():shackle
7124,word.lower():shackle
7125,word.lower():furminator
7126,word[:3]:Fur
7127,+1:word.lower():deshedding
7128,word.lower():deshedding
7129,word[:3]:des
7130,-1:word.lower():furminator
7131,word[:3]:ala
7132,-1:word.lower():deshedding
7133,+1:word.lower():sikat
7134,word.lower():sikat
7135,word[:3]:sik
7136,-1:word.lower():sikat
7137,+1:word.lower():anjing/kucing
7138,word.lower():anjing/kucing
7139,word[:3]:anj
7140,+1:word.lower():(warna
7141,word.lower():(warna
7142,word[:3]:(wa
7143,word[:2]:(w
7144,-1:word.lower():anjing/kucing
7145,+1:word.lower():acak)
7146,word.lower():acak)
7147,word[-3:]:ak)
7148,word[-2:]:k)
7149,word[:3]:aca
7150,word[:2]:ac
7151,-1:word.lower():(warna
7152,word.lower():allunique
7153,word[-3:]:que
7154,+1:word.lower():keranjang
7155,word.lower():keranjang
7156,-1:word.lower():allunique
7157,-1:word.lower():keranjang
7158,word.lower():rok
7159,word[-3:]:Rok
7160,word[:3]:Rok
7161,+1:word.lower():skirt
7162,word.lower():skirt
7163,-1:word.lower():rok
7164,-1:word.lower():skirt
7165,word.lower():must
7166,+1:word.lower():have!
7167,word.lower():have!
7168,word[-3:]:ve!
7169,word[-2:]:e!
7170,word[:3]:Hav
7171,-1:word.lower():must
7172,word[-3:]:LLO
7173,word[:3]:HEL
7174,-1:word.lower():have!
7175,word[-3:]:TTY
7176,+1:word.lower():tote
7177,word.lower():tote
7178,word[:3]:Tot
7179,-1:word.lower():tote
7180,word[-3:]:PER
7181,+1:word.lower():cute!free
7182,word.lower():cute!free
7183,word[-3:]:ree
7184,word[-2:]:ee
7185,word[:3]:CUT
7186,word[:2]:CU
7187,-1:word.lower():cute!free
7188,+1:word.lower():pouch.
7189,word.lower():pouch.
7190,word[-3:]:ch.
7191,word[-2:]:h.
7192,word.lower():risurfingstore
7193,word[:3]:Ris
7194,-1:word.lower():risurfingstore
7195,+1:word.lower():genggam
7196,word.lower():genggam
7197,-1:word.lower():genggam
7198,+1:word.lower():shennheiser
7199,word.lower():shennheiser
7200,word[:3]:She
7201,+1:word.lower():e935s
7202,word.lower():e935s
7203,word[-3:]:35s
7204,word[-2:]:5s
7205,word[:3]:e93
7206,word[:2]:e9
7207,-1:word.lower():shennheiser
7208,word.lower():anting
7209,-1:word.lower():anting
7210,+1:word.lower():pom
7211,word.lower():pom
7212,word[-3:]:POM
7213,word[:3]:POM
7214,-1:word.lower():pom
7215,word[-3:]:TAM
7216,word[:3]:HIT
7217,+1:word.lower():kinesio
7218,word.lower():kinesio
7219,word[-3:]:sio
7220,word[:3]:Kin
7221,word[:3]:tap
7222,-1:word.lower():kinesio
7223,+1:word.lower():kinesiology
7224,word.lower():kinesiology
7225,word[-3:]:ogy
7226,word[-2:]:gy
7227,-1:word.lower():kinesiology
7228,+1:word.lower():sport
7229,word.lower():sport
7230,word[:3]:spo
7231,+1:word.lower():theraphy
7232,word.lower():theraphy
7233,word[-3:]:phy
7234,word[-2:]:hy
7235,word[:3]:the
7236,-1:word.lower():sport
7237,word.lower():james
7238,word[-3:]:mes
7239,+1:word.lower():donkey
7240,word.lower():donkey
7241,word[-3:]:key
7242,-1:word.lower():james
7243,+1:word.lower():102
7244,word.lower():102
7245,word[-3:]:102
7246,word[-2:]:02
7247,word[:3]:102
7248,-1:word.lower():donkey
7249,+1:word.lower():gaming
7250,word.lower():gaming
7251,word[:3]:Gam
7252,-1:word.lower():102
7253,-1:word.lower():gaming
7254,+1:word.lower():gamer
7255,word.lower():gamer
7256,-1:word.lower():gamer
7257,+1:word.lower():buttons
7258,word.lower():buttons
7259,word[-3:]:ons
7260,word[:3]:but
7261,word[:3]:bol
7262,word.lower():soket
7263,word[:3]:Sok
7264,-1:word.lower():soket
7265,+1:word.lower():ganda
7266,word.lower():ganda
7267,word[-3:]:nda
7268,+1:word.lower():tahan
7269,word.lower():tahan
7270,word[:3]:TAH
7271,-1:word.lower():ganda
7272,word[-3:]:AIR
7273,word[:3]:AIR
7274,-1:word.lower():tahan
7275,+1:word.lower():3.1
7276,word.lower():3.1
7277,word[-3:]:3.1
7278,word[-2:]:.1
7279,word[:3]:3.1
7280,+1:word.lower():panel
7281,word.lower():panel
7282,word[-3:]:nel
7283,-1:word.lower():3.1
7284,+1:word.lower():kepala
7285,word.lower():kepala
7286,word[-3:]:ala
7287,word[:3]:kep
7288,-1:word.lower():panel
7289,word[:3]:sek
7290,-1:word.lower():kepala
7291,+1:word.lower():gunung
7292,word.lower():gunung
7293,word[:3]:Gun
7294,-1:word.lower():sekolah
7295,word.lower():sgp
7296,word[-3:]:SGP
7297,word[-2:]:GP
7298,word[:3]:SGP
7299,word[:2]:SG
7300,+1:word.lower():silencer
7301,word.lower():silencer
7302,word[-3:]:cer
7303,-1:word.lower():sgp
7304,+1:word.lower():fu
7305,word.lower():fu
7306,word[-3:]:FU
7307,word[-2:]:FU
7308,word[:3]:FU
7309,word[:2]:FU
7310,-1:word.lower():silencer
7311,+1:word.lower():knalpot
7312,-1:word.lower():fu
7313,+1:word.lower():satria
7314,word.lower():satria
7315,-1:word.lower():satria
7316,+1:word.lower():cc
7317,word.lower():cc
7318,word[-3:]:cc
7319,word[-2:]:cc
7320,word[:3]:cc
7321,word[:2]:cc
7322,+1:word.lower():amd
7323,word.lower():amd
7324,word[-3:]:AMD
7325,word[:3]:AMD
7326,word.lower():shakehand
7327,-1:word.lower():shakehand
7328,+1:word.lower():note
7329,word.lower():note
7330,-1:word.lower():note
7331,+1:word.lower():n910h
7332,word.lower():n910h
7333,word[-3:]:10H
7334,word[-2:]:0H
7335,word[:3]:N91
7336,word[:2]:N9
7337,+1:word.lower():32gb
7338,word.lower():32gb
7339,word[-3:]:2GB
7340,word[:3]:32G
7341,-1:word.lower():n910h
7342,word.lower():wilson
7343,word[:3]:Wil
7344,-1:word.lower():wilson
7345,+1:word.lower():tenis
7346,word.lower():tenis
7347,word[-3:]:Pro
7348,-1:word.lower():tenis
7349,+1:word.lower():staff
7350,word.lower():staff
7351,word[-3:]:aff
7352,word[-2:]:ff
7353,+1:word.lower():rf
7354,word.lower():rf
7355,word[-3:]:RF
7356,word[-2:]:RF
7357,word[:3]:RF
7358,word[:2]:RF
7359,-1:word.lower():staff
7360,+1:word.lower():97
7361,word.lower():97
7362,word[-3:]:97
7363,word[:3]:97
7364,word[:2]:97
7365,-1:word.lower():rf
7366,+1:word.lower():autograph
7367,word.lower():autograph
7368,word[-3:]:aph
7369,word[-2:]:ph
7370,-1:word.lower():97
7371,+1:word.lower():unstrung
7372,word.lower():unstrung
7373,word[:3]:Uns
7374,-1:word.lower():autograph
7375,+1:word.lower():grip
7376,word.lower():grip
7377,word[:3]:Gri
7378,-1:word.lower():unstrung
7379,-1:word.lower():grip
7380,word.lower():(gwse)
7381,word[-3:]:SE)
7382,word[:3]:(GW
7383,word[:2]:(G
7384,+1:word.lower():gw
7385,word.lower():gw
7386,word[-3:]:GW
7387,word[-2:]:GW
7388,word[:3]:GW
7389,word[:2]:GW
7390,-1:word.lower():(gwse)
7391,+1:word.lower():special
7392,word.lower():special
7393,word[-3:]:IAL
7394,word[:3]:SPE
7395,word[:2]:SP
7396,-1:word.lower():gw
7397,+1:word.lower():edition
7398,word.lower():edition
7399,word[-3:]:ION
7400,word[:3]:EDI
7401,-1:word.lower():special
7402,-1:word.lower():edition
7403,+1:word.lower():95-140
7404,word.lower():95-140
7405,word[:3]:95-
7406,word[:2]:95
7407,word.lower():formal
7408,word[-3:]:mal
7409,+1:word.lower():kasual
7410,word.lower():kasual
7411,-1:word.lower():formal
7412,+1:word.lower():office</enamex>
7413,word.lower():office</enamex>
7414,word[-3:]:EX>
7415,word[-2:]:X>
7416,-1:word.lower():kasual
7417,word[-3:]:eja
7418,word[:3]:Kem
7419,-1:word.lower():office</enamex>
7420,+1:word.lower():stretch
7421,word.lower():stretch
7422,+1:word.lower():boy
7423,word.lower():boy
7424,word[-3:]:Boy
7425,word[-2:]:oy
7426,word[:3]:Boy
7427,-1:word.lower():stretch
7428,+1:word.lower():7t
7429,word.lower():7t
7430,word[-3:]:7T
7431,word[-2:]:7T
7432,word[:3]:7T
7433,word[:2]:7T
7434,-1:word.lower():boy
7435,-1:word.lower():7t
7436,word.lower():groomer's
7437,word[-3:]:R'S
7438,word[-2:]:'S
7439,+1:word.lower():blend
7440,word.lower():blend
7441,word[-3:]:END
7442,word[:3]:BLE
7443,-1:word.lower():groomer's
7444,+1:word.lower():oatmeal
7445,word.lower():oatmeal
7446,word[-3:]:eal
7447,word[:3]:Oat
7448,word[:2]:Oa
7449,-1:word.lower():blend
7450,-1:word.lower():oatmeal
7451,+1:word.lower():17oz
7452,word.lower():17oz
7453,word[-3:]:7oz
7454,word[:3]:17o
7455,word[:2]:17
7456,word.lower():bags
7457,word[-3:]:ags
7458,word[-2:]:gs
7459,+1:word.lower():hearted
7460,word.lower():hearted
7461,word[:3]:Hea
7462,-1:word.lower():bags
7463,+1:word.lower():two
7464,word.lower():two
7465,word[-3:]:Two
7466,word[-2:]:wo
7467,word[:3]:Two
7468,word[:2]:Tw
7469,-1:word.lower():hearted
7470,+1:word.lower():tone
7471,word.lower():tone
7472,word[:3]:Ton
7473,-1:word.lower():two
7474,-1:word.lower():tone
7475,+1:word.lower():e7
7476,word.lower():e7
7477,word[-3:]:E7
7478,word[-2:]:E7
7479,word[:3]:E7
7480,word[:2]:E7
7481,+1:word.lower():(e700)
7482,word.lower():(e700)
7483,word[-3:]:00)
7484,word[-2:]:0)
7485,word[:3]:(E7
7486,word[:2]:(E
7487,-1:word.lower():e7
7488,+1:word.lower():ram
7489,word.lower():ram
7490,word[-3:]:RAM
7491,-1:word.lower():(e700)
7492,+1:word.lower():2gb
7493,word.lower():2gb
7494,word[:3]:2GB
7495,word[:2]:2G
7496,-1:word.lower():ram
7497,+1:word.lower():rom
7498,word.lower():rom
7499,word[:3]:ROM
7500,-1:word.lower():2gb
7501,+1:word.lower():16gb
7502,word.lower():16gb
7503,word[-3:]:6GB
7504,word[:3]:16G
7505,-1:word.lower():rom
7506,word.lower():extra
7507,+1:word.lower():virgin
7508,word.lower():virgin
7509,-1:word.lower():extra
7510,+1:word.lower():olive
7511,word.lower():olive
7512,word[:3]:Oli
7513,word[:2]:Ol
7514,-1:word.lower():virgin
7515,+1:word.lower():oil
7516,word.lower():oil
7517,word[-3:]:Oil
7518,word[:3]:Oil
7519,word[:2]:Oi
7520,-1:word.lower():olive
7521,+1:word.lower():minyak
7522,word.lower():minyak
7523,word[-3:]:yak
7524,-1:word.lower():oil
7525,+1:word.lower():zaitun
7526,word.lower():zaitun
7527,word[:3]:Zai
7528,word[:2]:Za
7529,-1:word.lower():minyak
7530,word.lower():cogo
7531,word[-3:]:OGO
7532,word[-2:]:GO
7533,word[:3]:COG
7534,+1:word.lower():block
7535,word.lower():block
7536,word[-3:]:OCK
7537,word[:3]:BLO
7538,-1:word.lower():cogo
7539,+1:word.lower():city
7540,word.lower():city
7541,word[:3]:CIT
7542,word[:2]:CI
7543,-1:word.lower():block
7544,-1:word.lower():city
7545,+1:word.lower():4107
7546,word.lower():4107
7547,word[-3:]:107
7548,word[-2:]:07
7549,word[:3]:410
7550,word[:2]:41
7551,+1:word.lower():terfavorit
7552,word.lower():terfavorit
7553,word[-3:]:RIT
7554,-1:word.lower():4107
7555,word.lower():lipton
7556,word[:3]:Lip
7557,+1:word.lower():serbuk
7558,word.lower():serbuk
7559,word[-3:]:buk
7560,-1:word.lower():lipton
7561,+1:word.lower():teh
7562,-1:word.lower():serbuk
7563,+1:word.lower():instan
7564,word.lower():instan
7565,word[:3]:Ins
7566,+1:word.lower():625g
7567,word.lower():625g
7568,word[-3:]:25g
7569,word[-2:]:5g
7570,word[:3]:625
7571,word[:2]:62
7572,-1:word.lower():instan
7573,+1:word.lower():asi
7574,word.lower():asi
7575,word[-3:]:Asi
7576,word[:3]:Asi
7577,+1:word.lower():kaca
7578,word.lower():kaca
7579,word[-3:]:aca
7580,-1:word.lower():asi
7581,-1:word.lower():kaca
7582,word[-3:]:ml
7583,word[:3]:ml
7584,word[:2]:ml
7585,word.lower():shake
7586,word[:3]:SHA
7587,word[:2]:SH
7588,word[:3]:AND
7589,-1:word.lower():shake
7590,+1:word.lower():take
7591,word.lower():take
7592,word[:3]:TAK
7593,-1:word.lower():take
7594,word[:3]:bot
7595,+1:word.lower():minum
7596,word.lower():minum
7597,word[-3:]:num
7598,+1:word.lower():jus
7599,word.lower():jus
7600,word[-3:]:jus
7601,word[:3]:jus
7602,word[:2]:ju
7603,-1:word.lower():minum
7604,word[:3]:jah
7605,+1:word.lower():singer
7606,word.lower():singer
7607,word[-3:]:GER
7608,+1:word.lower():1306
7609,word.lower():1306
7610,word[-3:]:306
7611,-1:word.lower():singer
